83,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　調理後全体　（添付調味料等を含むもの）,90,,,
84,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　調理後のめん　（スープを残したもの）,142,,,
85,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　焼きそば　乾　（添付調味料等を含むもの）,418,,,
86,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　焼きそば　調理後全体　（添付調味料等を含むもの）,222,,,
87,こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　乾　（添付調味料等を含むもの）,314,,,
88,こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　調理後全体　（添付調味料等を含むもの）,66,,,
89,こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　調理後のめん　（スープを残したもの）,121,,,
90,こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　乾　（添付調味料等を含むもの）,437,,,
91,こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　調理後全体　（添付調味料等を含むもの）,91,,,
92,こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　調理後のめん　（スープを残したもの）,163,,,
93,こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　乾,347,,,
94,こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　ゆで,150,,,
95,こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　ソテー,186,,,
96,こむぎ　［マカロニ・スパゲッティ類］　生パスタ　生,232,,,
97,こむぎ　［ふ類］　生ふ,161,,,
98,こむぎ　［ふ類］　焼きふ　釜焼きふ,357,,,
99,こむぎ　［ふ類］　焼きふ　板ふ,351,,,
100,こむぎ　［ふ類］　焼きふ　車ふ,361,,,
101,こむぎ　［ふ類］　油ふ,547,,,
102,こむぎ　［その他］　小麦はいが,391,,,
103,こむぎ　［その他］　小麦たんぱく　粉末状,398,,,
104,こむぎ　［その他］　小麦たんぱく　粒状,101,,,
105,こむぎ　［その他］　小麦たんぱく　ペースト状,145,,,
106,こむぎ　［その他］　かやきせんべい,359,,,
107,こむぎ　［その他］　ぎょうざの皮　生,275,,,
108,こむぎ　［その他］　しゅうまいの皮　生,275,,,
109,こむぎ　［その他］　春巻きの皮　生,288,,,
110,こむぎ　［その他］　春巻きの皮　揚げ,512,,,
111,こむぎ　［その他］　ピザ生地,265,,,
112,こむぎ　［その他］　ちくわぶ,160,,,
113,こむぎ　［その他］　パン粉　生,277,,,
114,こむぎ　［その他］　パン粉　半生,315,,,
115,こむぎ　［その他］　パン粉　乾燥,369,,,
116,こむぎ　［その他］　冷めん　生,249,,,
117,こめ　［水稲穀粒］　玄米,346,,,
118,こめ　［水稲穀粒］　半つき米,345,,,
119,こめ　［水稲穀粒］　七分つき米,348,,,
120,こめ　［水稲穀粒］　精白米　うるち米,342,,,
121,こめ　［水稲穀粒］　精白米　もち米,343,,,
122,こめ　［水稲穀粒］　精白米　インディカ米,347,,,
123,こめ　［水稲穀粒］　はいが精米,343,,,
124,こめ　［水稲穀粒］　発芽玄米,339,,,
125,こめ　［水稲穀粒］　赤米,344,,,
126,こめ　［水稲穀粒］　黒米,341,,,
127,こめ　［水稲めし］　玄米,152,,,
128,こめ　［水稲めし］　半つき米,154,,,
129,こめ　［水稲めし］　七分つき米,160,,,
130,こめ　［水稲めし］　精白米　インディカ米,184,,,
131,こめ　［水稲めし］　精白米　うるち米,156,,,
132,こめ　［水稲めし］　精白米　もち米,188,,,
133,こめ　［水稲めし］　はいが精米,159,,,
134,こめ　［水稲めし］　発芽玄米,161,,,
135,こめ　［水稲めし］　赤米,150,,,
136,こめ　［水稲めし］　黒米,150,,,
137,こめ　［水稲軟めし］　精白米,113,,,
138,こめ　［水稲全かゆ］　玄米,64,,,
139,こめ　［水稲全かゆ］　半つき米,65,,,
140,こめ　［水稲全かゆ］　七分つき米,68,,,
141,こめ　［水稲全かゆ］　精白米,65,,,
142,こめ　［水稲五分かゆ］　玄米,32,,,
143,こめ　［水稲五分かゆ］　半つき米,32,,,
144,こめ　［水稲五分かゆ］　七分つき米,32,,,
145,こめ　［水稲五分かゆ］　精白米,33,,,
146,こめ　［水稲おもゆ］　玄米,19,,,
147,こめ　［水稲おもゆ］　半つき米,19,,,
148,こめ　［水稲おもゆ］　七分つき米,20,,,
149,こめ　［水稲おもゆ］　精白米,19,,,
150,こめ　［陸稲穀粒］　玄米,357,,,
151,こめ　［陸稲穀粒］　半つき米,356,,,
152,こめ　［陸稲穀粒］　七分つき米,359,,,
153,こめ　［陸稲穀粒］　精白米,331,,,
154,こめ　［陸稲めし］　玄米,156,,,
155,こめ　［陸稲めし］　半つき米,157,,,
156,こめ　［陸稲めし］　七分つき米,155,,,
157,こめ　［陸稲めし］　精白米,157,,,
158,こめ　［うるち米製品］　アルファ化米　一般用,358,,,
159,こめ　［うるち米製品］　アルファ化米　学校給食用強化品,358,,,
160,こめ　［うるち米製品］　おにぎり,170,,,
161,こめ　［うるち米製品］　焼きおにぎり,166,,,
162,こめ　［うるち米製品］　きりたんぽ,200,,,
163,こめ　［うるち米製品］　上新粉,343,,,
164,こめ　［うるち米製品］　玄米粉,370,,,
165,こめ　［うるち米製品］　米粉,356,,,
166,こめ　［うるち米製品］　米粉パン　食パン,247,,,
167,こめ　［うるち米製品］　米粉パン　ロールパン,256,,,
168,こめ　［うるち米製品］　米粉パン　小麦グルテン不使用のもの,247,,,
169,こめ　［うるち米製品］　米粉めん,252,,,
170,こめ　［うるち米製品］　ビーフン,360,,,
171,こめ　［うるち米製品］　ライスペーパー,339,,,
172,こめ　［うるち米製品］　米こうじ,260,,,
173,こめ　［もち米製品］　もち,223,,,
174,こめ　［もち米製品］　赤飯,186,,,
175,こめ　［もち米製品］　あくまき,131,,,
176,こめ　［もち米製品］　白玉粉,347,,,
177,こめ　［もち米製品］　道明寺粉,349,,,
178,こめ　［その他］　米ぬか,374,,,
179,そば　そば粉　全層粉,339,,,
180,そば　そば粉　内層粉,342,,,
181,そば　そば粉　中層粉,334,,,
182,そば　そば粉　表層粉,337,,,
183,そば　そば米,347,,,
184,そば　そば　生,271,,,
185,そば　そば　ゆで,130,,,
186,そば　そば　半生そば,325,,,
187,そば　干しそば　乾,344,,,
188,そば　干しそば　ゆで,113,,,
189,とうもろこし　玄穀　黄色種,341,,,
190,とうもろこし　玄穀　白色種,341,,,
191,とうもろこし　コーンミール　黄色種,375,,,
192,とうもろこし　コーンミール　白色種,375,,,
193,とうもろこし　コーングリッツ　黄色種,352,,,
194,とうもろこし　コーングリッツ　白色種,352,,,
195,とうもろこし　コーンフラワー　黄色種,347,,,
196,とうもろこし　コーンフラワー　白色種,347,,,
197,とうもろこし　ジャイアントコーン　フライ　味付け,409,,,
198,とうもろこし　ポップコーン,472,,,
199,とうもろこし　コーンフレーク,380,,,
200,はとむぎ　精白粒,353,,,
201,ひえ　精白粒,361,,,
202,もろこし　玄穀,344,,,
203,もろこし　精白粒,348,,,
204,ライむぎ　全粒粉,317,,,
205,ライむぎ　ライ麦粉,324,,,
206,＜いも類＞　アメリカほどいも　塊根　生,146,,,
207,＜いも類＞　アメリカほどいも　塊根　ゆで,144,,,
208,＜いも類＞　きくいも　塊茎　生,66,,,
209,＜いも類＞　きくいも　塊茎　水煮,51,,,
210,＜いも類＞　こんにゃく　精粉,194,,,
211,＜いも類＞　こんにゃく　板こんにゃく　精粉こんにゃく,5,,,
212,＜いも類＞　こんにゃく　板こんにゃく　生いもこんにゃく,8,,,
213,＜いも類＞　こんにゃく　赤こんにゃく,6,,,
214,＜いも類＞　こんにゃく　凍みこんにゃく　乾,192,,,
215,＜いも類＞　こんにゃく　凍みこんにゃく　ゆで,42,,,
216,＜いも類＞　こんにゃく　しらたき,7,,,
217,＜いも類＞　（さつまいも類）　さつまいも　塊根　皮つき　生,127,,,
218,＜いも類＞　（さつまいも類）　さつまいも　塊根　皮つき　蒸し,129,,,
219,＜いも類＞　（さつまいも類）　さつまいも　塊根　皮つき　天ぷら,205,,,
220,＜いも類＞　（さつまいも類）　さつまいも　塊根　皮なし　生,126,,,
221,＜いも類＞　（さつまいも類）　さつまいも　塊根　皮なし　蒸し,131,,,
222,＜いも類＞　（さつまいも類）　さつまいも　塊根　皮なし　焼き,151,,,
223,＜いも類＞　（さつまいも類）　さつまいも　蒸し切干,277,,,
224,＜いも類＞　（さつまいも類）　むらさきいも　塊根　皮なし　生,123,,,
225,＜いも類＞　（さつまいも類）　むらさきいも　塊根　皮なし　蒸し,122,,,
226,＜いも類＞　（さといも類）　さといも　球茎　生,53,,,
227,＜いも類＞　（さといも類）　さといも　球茎　水煮,52,,,
228,＜いも類＞　（さといも類）　さといも　球茎　冷凍,69,,,
229,＜いも類＞　（さといも類）　セレベス　球茎　生,80,,,
230,＜いも類＞　（さといも類）　セレベス　球茎　水煮,77,,,
231,＜いも類＞　（さといも類）　たけのこいも　球茎　生,97,,,
232,＜いも類＞　（さといも類）　たけのこいも　球茎　水煮,86,,,
233,＜いも類＞　（さといも類）　みずいも　球茎　生,111,,,
234,＜いも類＞　（さといも類）　みずいも　球茎　水煮,101,,,
235,＜いも類＞　（さといも類）　やつがしら　球茎　生,94,,,
236,＜いも類＞　（さといも類）　やつがしら　球茎　水煮,92,,,
237,＜いも類＞　じゃがいも　塊茎　皮つき　生,51,,,
238,＜いも類＞　じゃがいも　塊茎　皮つき　電子レンジ調理,78,,,
239,＜いも類＞　じゃがいも　塊茎　皮つき　フライドポテト　（生を揚げたもの）,153,,,
240,＜いも類＞　じゃがいも　塊茎　皮なし　生,59,,,
241,＜いも類＞　じゃがいも　塊茎　皮なし　水煮,71,,,
242,＜いも類＞　じゃがいも　塊茎　皮なし　蒸し,76,,,
243,＜いも類＞　じゃがいも　塊茎　皮なし　電子レンジ調理,78,,,
244,＜いも類＞　じゃがいも　塊茎　皮なし　フライドポテト　（生を揚げたもの）,159,,,
245,＜いも類＞　じゃがいも　塊茎　皮なし　フライドポテト　（市販冷凍食品を揚げたもの）,229,,,
246,＜いも類＞　じゃがいも　乾燥マッシュポテト,347,,,
247,＜いも類＞　ヤーコン　塊根　生,52,,,
248,＜いも類＞　ヤーコン　塊根　水煮,42,,,
249,＜いも類＞　（やまのいも類）　ながいも　いちょういも　塊根　生,108,,,
250,＜いも類＞　（やまのいも類）　ながいも　ながいも　塊根　生,64,,,
251,＜いも類＞　（やまのいも類）　ながいも　ながいも　塊根　水煮,58,,,
252,＜いも類＞　（やまのいも類）　ながいも　やまといも　塊根　生,119,,,
253,＜いも類＞　（やまのいも類）　じねんじょ　塊根　生,118,,,
254,＜いも類＞　（やまのいも類）　だいじょ　塊根　生,102,,,
255,＜でん粉・でん粉製品＞　（でん粉類）　おおうばゆりでん粉,327,,,
256,＜でん粉・でん粉製品＞　（でん粉類）　キャッサバでん粉,354,,,
257,＜でん粉・でん粉製品＞　（でん粉類）　くずでん粉,356,,,
258,＜でん粉・でん粉製品＞　（でん粉類）　米でん粉,375,,,
259,＜でん粉・でん粉製品＞　（でん粉類）　小麦でん粉,360,,,
260,＜でん粉・でん粉製品＞　（でん粉類）　サゴでん粉,357,,,
261,＜でん粉・でん粉製品＞　（でん粉類）　さつまいもでん粉,340,,,
262,＜でん粉・でん粉製品＞　（でん粉類）　じゃがいもでん粉,338,,,
263,＜でん粉・でん粉製品＞　（でん粉類）　とうもろこしでん粉,363,,,
264,＜でん粉・でん粉製品＞　（でん粉製品）　くずきり　乾,341,,,
265,＜でん粉・でん粉製品＞　（でん粉製品）　くずきり　ゆで,133,,,
266,＜でん粉・でん粉製品＞　（でん粉製品）　ごま豆腐,75,,,
267,＜でん粉・でん粉製品＞　（でん粉製品）　タピオカパール　乾,352,,,
268,＜でん粉・でん粉製品＞　（でん粉製品）　タピオカパール　ゆで,61,,,
269,＜でん粉・でん粉製品＞　（でん粉製品）　でん粉めん　生,129,,,
270,＜でん粉・でん粉製品＞　（でん粉製品）　でん粉めん　乾,347,,,
